ATYPIDAE,Atypus,affinis,Eichwald, 1830 E S W RI NS 
SCYTODIDAE,Scytodes,thoracica,(Latreille, 1802) 
PHOLCIDAE,Pholcus,phalangioides,(Fuesslin, 1775) E S W NI RI Ah 
PHOLCIDAE,Psilochorus,simoni,(Berland, 1911) E S W NI RI Ah 
SEGESTRIIDAE,Segestria,senoculata,(Linnaeus, 1758) E S W NI RI 
SEGESTRIIDAE,Segestria,bavarica,C. L. Koch, 1843 E W NR 
SEGESTRIIDAE,Segestria,florentina,(Rossi, 1790) E S W 
DYSDERIDAE,Dysdera,erythrina,(Walckenaer, 1802) E S W NI RI 
DYSDERIDAE,Dysdera,crocata,C. L. Koch, 1838 E S W NI RI 
DYSDERIDAE,Harpactea,hombergi,(Scopoli, 1763) E S W NI RI 
DYSDERIDAE,Harpactea,rubicunda,(C. L. Koch, 1838) Appendix 2 E NR V 
OONOPIDAE,Oonops,pulcher,Templeton, 1835 E S W NI RI 
OONOPIDAE,Oonops,domesticus,Dalmas, 1916 E S W NI RI Ah 
MIMETIDAE,Ero,cambridgei,Kulczyñski, 1911 E S W NI RI 
MIMETIDAE,Ero,furcata,(Villers, 1789) E S W NI RI 
MIMETIDAE,Ero,aphana,(Walckenaer, 1802) E S NS 
MIMETIDAE,Ero,tuberculata,(De Geer, 1778) E S NS 
ERESIDAE,Eresus,sandaliatus,(Martini & Goeze, 1778) Eresus niger E NR V 
ULOBORIDAE,Uloborus,walckenaerius,Latreille, 1806 E NR NT 
ULOBORIDAE,Uloborus,plumipes,Lucas, 1846 Not present E S W RI Ag 
ULOBORIDAE,Hyptiotes,paradoxus,(C. L. Koch, 1834) E W RI NS 
NESTICIDAE,Nesticus,cellulanus,(Clerck, 1757) E S W NI RI 
NESTICIDAE,Kryptonesticus,eremita,(Simon, 1880) Not present Not present W 
THERIDIIDAE,Episinus,angulatus,(Blackwall, 1836) E S W NI RI 
THERIDIIDAE,Episinus,truncatus,Latreille, 1809 E W RI NS 
THERIDIIDAE,Episinus,maculipes,Cavanna, 1876 E NI RI NS 
THERIDIIDAE,Euryopis,flavomaculata,(C. L. Koch, 1836) E S W NI RI NS 
THERIDIIDAE,Lasaeola,prona,(Menge, 1868) Dipoena prona Dipoena prona E W NR E 
THERIDIIDAE,Lasaeola,tristis,(Hahn, 1833) Dipoena tristis Dipoena tristis E RI NS 
THERIDIIDAE,Phycosoma,inornatum,(O. P.-Cambridge, 1861) Dipoena inornata Dipoena inornata E S W RI NS 
THERIDIIDAE,Dipoena,erythropus,(Simon, 1881) E W NR V 
THERIDIIDAE,Dipoena,melanogaster,(C. L. Koch, 1837) E RI NR E 
THERIDIIDAE,Dipoena,torva,(Thorell, 1875) S NR NT 
THERIDIIDAE,Crustulina,guttata,(Wider, 1834) E S W RI 
THERIDIIDAE,Crustulina,sticta,(O. P.-Cambridge, 1861) E RI NS 
THERIDIIDAE,Asagena,phalerata,(Panzer, 1801) Steatoda phalerata Steatoda phalerata E S W NI RI 
THERIDIIDAE,Steatoda,albomaculata,(De Geer, 1778) E W NR 
THERIDIIDAE,Steadota,bipunctata,(Linnaeus, 1758) E S W NI RI 
THERIDIIDAE,Steatoda,grossa,(C. L. Koch, 1838) E S W NI RI Ab 
THERIDIIDAE,Steatoda,nobilis,(Thorell, 1875) Appendix 2 E S W NI RI Ab 
THERIDIIDAE,Steatoda,triangulosa,(Walckenaer, 1802) Not present E W 
THERIDIIDAE,Anelosimus,vittatus,(C. L. Koch, 1836) E S W NI RI 
THERIDIIDAE,Kochiura,aulica,(C. L. Koch, 1838) Anelosimus aulicus E NS 
THERIDIIDAE,Cryptachaea,riparia,(Blackwall, 1834) Achaearanea riparia Achaearanea riparia E S W RI NS 
THERIDIIDAE,Cryptachaea,blattea,(Urquhart, 1886) Not present Not present E W 
THERIDIIDAE,Cryptachaea,veruculata,(Urquhart, 1885) Achaearanea veruculata E 
THERIDIIDAE,Parasteatoda,lunata,(Clerck, 1757) Achaearanea lunata Achaearanea lunata E W RI 
THERIDIIDAE,Parasteatoda,tepidariorum,(C. L. Koch, 1841) Achaearanea tepidariorum Achaearanea tepidariorum E S W NI RI Ag 
THERIDIIDAE,Parasteatoda,simulans,(Thorell, 1875) Achaearanea simulans Achaearanea simulans E W 
THERIDIIDAE,Phylloneta,sisyphia,(Clerck, 1757) Theridion sisyphium E S W NI RI 
THERIDIIDAE,Phylloneta,impressa,(L. Koch, 1881) Theridion impressum E S W NI RI 
THERIDIIDAE,Theridion,pictum,(Walckenaer, 1802) E S W 
THERIDIIDAE,Theridion,hemerobium,Simon, 1914 E W RI NS 
THERIDIIDAE,Theridion,hannoniae,Denis, 1944 Not present W 
THERIDIIDAE,Theridion,varians,Hahn, 1833 E S W NI RI 
THERIDIIDAE,Theridion,pinastri,L. Koch, 1872 E NS 
THERIDIIDAE,Theridion,familiare,O. P.-Cambridge, 1871 E S NS 
THERIDIIDAE,Theridion,melanurum,Hahn, 1831 E S W NI RI 
THERIDIIDAE,Theridion,mystaceum,L. Koch, 1870 E S W NI RI 
THERIDIIDAE,Sardinidion,blackwalli,(O. P.-Cambridge, 1871) Theridion blackwalli Theridion blackwalli E S W RI NS 
THERIDIIDAE,Platnickina,tincta,(Walckenaer, 1802) Theridion tinctum E S W NI RI 
THERIDIIDAE,Simitidion,simile,(C. L. Koch, 1836) Theridion simile E S W NI RI 
THERIDIIDAE,Neottiura,bimaculata,(Linnaeus, 1767) Theridion bimaculatum E S W NI RI 
THERIDIIDAE,Paidiscura,pallens,(Blackwall, 1834) Theridion pallens E S W NI RI 
THERIDIIDAE,Rugathodes,instabilis,(O. P.-Cambridge, 1871) Theridion instabile E W NI RI NS 
THERIDIIDAE,Rugathodes,bellicosus,(Simon, 1873) Theridion bellicosum E S W RI NR 
THERIDIIDAE,Rugathodes,sexpunctatus,(Emerton, 1882) Not present S 
THERIDIIDAE,Coleosoma,floridanum,(Banks, 1900) Not present Not present E Ag 
THERIDIIDAE,Enoplognatha,ovata,(Clerck, 1757) E S W NI RI 
THERIDIIDAE,Enoplognatha,latimana,Hippa & Oksala, 1982 Appendix 1 E S W RI 
THERIDIIDAE,Enoplognatha,thoracica,(Hahn, 1833) E S W NI RI 
THERIDIIDAE,Enoplognatha,mordax,(Thorell, 1875) Enoplognatha crucifera E S W NS 
THERIDIIDAE,Enoplognatha,caricis,(Fickert, 1876) Enoplognatha tecta Enoplognatha tecta E NR V 
THERIDIIDAE,Enoplognatha,oelandica,(Thorell, 1875) E NR CE 
THERIDIIDAE,Robertus,lividus,(Blackwall, 1836) E S W NI RI 
THERIDIIDAE,Robertus,arundineti,(O. P.-Cambridge, 1871) E S W NI RI 
